Generation,Individual_Index_In_Pop,Fitness,PPG,Slot_0_Player_ID,Slot_1_Player_ID,Slot_2_Player_ID,Slot_3_Player_ID,Slot_4_Player_ID,Slot_5_Player_ID,Slot_6_Player_ID
1,0,-19918.48176470588,81.51823529411766,133,90,43,48,62,147,72
1,1,63.819411764705876,63.819411764705876,167,141,150,29,190,123,75
1,2,83.29176470588234,83.29176470588234,201,109,4,5,35,181,54
1,3,-9923.16705882353,76.83294117647058,40,81,110,57,143,139,165
1,4,-9914.922352941176,85.07764705882354,156,23,2,143,191,21,37
1,5,-9930.079411764706,69.92058823529412,201,107,59,19,115,183,13
1,6,-9921.174705882353,78.82529411764706,92,37,56,151,42,199,136
1,7,91.34411764705884,91.34411764705884,127,56,4,3,86,142,64
1,8,80.60529411764706,80.60529411764706,92,43,18,179,35,181,100
1,9,-19923.949411764705,76.05058823529411,92,90,104,113,115,177,17
1,10,-9944.554705882352,55.44529411764706,172,203,150,161,45,117,147
1,11,-9911.33294117647,88.66705882352942,108,80,2,86,17,144,19
1,12,80.59117647058822,80.59117647058822,47,173,2,8,55,192,114
1,13,-19911.351176470587,88.64882352941176,85,135,41,48,153,46,52
1,14,57.188235294117646,57.188235294117646,201,80,31,159,61,136,180
1,15,-9937.282352941176,62.71764705882353,152,107,140,198,32,139,109
1,16,-9937.198823529412,62.80117647058824,97,41,137,83,196,136,66
1,17,75.27823529411765,75.27823529411765,85,72,23,35,185,144,157
1,18,-9917.315294117647,82.68470588235294,77,107,38,44,11,131,151
1,19,-19925.026470588236,74.9735294117647,146,52,60,89,148,182,177
1,20,-9926.68,73.32,98,54,162,11,19,192,166
1,21,-9939.311176470588,60.68882352941176,106,184,162,175,198,170,49
1,22,-9930.367647058823,69.63235294117646,158,149,59,175,9,147,95
1,23,-19944.22823529412,55.77176470588236,172,195,54,179,155,183,203
1,24,64.68294117647059,64.68294117647059,154,125,59,27,24,136,176
1,25,-9927.091764705883,72.90823529411765,154,195,52,190,86,147,2
1,26,65.61529411764707,65.61529411764707,36,176,68,44,190,136,74
1,27,-9931.016470588236,68.9835294117647,154,93,178,191,22,142,89
1,28,-19928.384705882352,71.61529411764707,127,59,37,42,129,103,189
1,29,-9940.660588235294,59.33941176470587,133,125,81,193,148,199,115
1,30,-9926.12588235294,73.87411764705881,132,43,165,159,86,103,22
1,31,65.46764705882353,65.46764705882353,167,93,176,148,17,199,25
1,32,-9919.744705882353,80.25529411764707,40,54,59,179,35,126,86
1,33,-9929.456470588235,70.54352941176471,106,171,101,112,35,200,52
1,34,87.09235294117647,87.09235294117647,98,163,31,1,49,82,64
1,35,-9940.666470588236,59.33352941176471,47,184,163,190,204,123,51
1,36,65.6470588235294,65.6470588235294,36,165,178,153,198,139,101
1,37,-9907.06,92.94,118,99,31,119,62,15,2
1,38,80.50294117647059,80.50294117647059,106,6,171,58,114,192,14
1,39,63.103529411764704,63.103529411764704,130,166,107,175,153,182,44
1,40,-9922.290588235293,77.70941176470588,91,52,121,83,19,103,78
1,41,79.03,79.03,146,59,134,64,30,111,39
1,42,-19932.255294117647,67.74470588235295,156,100,166,157,89,96,63
1,43,82.39999999999999,82.39999999999999,132,99,4,5,11,139,174
1,44,-9929.47705882353,70.5229411764706,152,14,84,196,58,200,2
1,45,-9944.845294117647,55.15470588235294,158,164,194,113,44,169,65
1,46,83.44058823529411,83.44058823529411,36,137,99,3,88,46,148
1,47,-9925.722352941177,74.27764705882353,92,43,160,30,204,123,96
1,48,-19925.142352941177,74.85764705882353,201,59,38,35,42,139,29
1,49,95.05529411764705,95.05529411764705,91,141,68,27,1,82,6
1,50,73.34117647058824,73.34117647058824,40,134,178,32,153,123,160
1,51,-19937.763529411764,62.23647058823529,92,70,140,190,151,136,149
1,52,-19928.512941176472,71.48705882352941,40,38,109,113,153,131,188
1,53,66.0464705882353,66.0464705882353,92,107,41,193,51,139,171
1,54,71.12764705882353,71.12764705882353,122,100,6,57,190,170,120
1,55,-19940.48176470588,59.518235294117645,85,104,162,193,88,202,45
1,56,-9937.758823529412,62.241176470588236,130,2,84,159,114,200,79
1,57,-9925.447647058823,74.55235294117648,40,187,195,65,26,182,96
1,58,-9928.656470588236,71.3435294117647,34,149,100,89,186,147,62
1,59,58.361176470588234,58.361176470588234,132,68,174,39,155,202,139
1,60,65.36941176470589,65.36941176470589,108,135,171,71,168,131,15
1,61,-19914.345294117647,85.65470588235294,47,18,137,63,19,117,62
1,62,69.75176470588235,69.75176470588235,154,176,195,11,8,117,88
1,63,-19937.016470588234,62.98352941176469,154,176,84,151,74,144,29
1,64,63.269999999999996,63.269999999999996,118,137,125,145,33,181,177
1,65,-19932.59117647059,67.40882352941176,152,176,150,51,115,147,18
1,66,-19937.564705882352,62.43529411764706,85,134,99,119,196,117,113
1,67,-9928.565294117647,71.43470588235294,98,107,84,3,151,117,177
1,68,-19923.17882352941,76.82117647058823,92,189,75,17,65,181,62
1,69,-9932.331176470589,67.66882352941175,127,75,54,119,128,177,204
1,70,84.8,84.8,47,10,54,204,7,182,117
1,71,-19909.677647058823,90.32235294117648,40,43,163,51,32,46,23
1,72,-9935.494117647058,64.50588235294117,156,189,195,39,116,202,12
1,73,71.8035294117647,71.8035294117647,77,184,100,24,65,142,147
1,74,-9928.893529411765,71.1064705882353,50,107,173,87,28,21,89
1,75,-9922.321764705883,77.67823529411764,98,149,135,129,24,15,48
1,76,70.30470588235295,70.30470588235295,97,164,135,83,11,177,30
1,77,-9921.716470588235,78.2835294117647,133,37,107,48,24,82,129
1,78,-9942.786470588235,57.21352941176471,108,166,174,27,153,69,149
1,79,-9921.584705882353,78.41529411764705,152,137,165,1,48,136,183
1,80,-9936.355882352942,63.64411764705883,97,102,125,35,204,170,160
1,81,-19931.61411764706,68.38588235294117,98,56,107,94,71,131,88
1,82,79.55705882352942,79.55705882352942,122,25,70,105,76,199,55
1,83,-19922.855882352942,77.14411764705883,146,101,41,204,49,46,151
1,84,-9935.28588235294,64.71411764705883,47,121,52,64,128,202,190
1,85,-19924.194705882353,75.80529411764705,85,68,104,65,128,169,86
1,86,-29941.066470588234,58.9335294117647,156,31,189,186,168,183,155
